clause,document,title,severity,insertion,reach_pct,recorded,evidence_band,tension,evidence,decision,note
"dpa_subprocessors","dpa","Subprocessors","critical","auto","8.9","authority","evidence-drafting","stuck","two-party-labels","",""
"vest_definitions","vesting","Cause and Good Reason","recommended","auto","58.7","authority","evidence-drafting","stuck","this-agreement","",""
"msa_warranty_provider","msa","Warranties","critical","suggest","8.9","authority","evidence-drafting","stuck","two-party-labels","",""
"msa_price_protection","msa","Rate Adjustments","recommended","suggest","8.9","authority","evidence-drafting","stuck","two-party-labels","",""
"msa_expenses","msa","Expenses","optional","suggest","17.8","authority","evidence-drafting","stuck","two-party-labels","",""
"emp_ip","employment","Employee Invention Assignment","critical","auto","39.0","authority","evidence-authority","consistent","appeals-to-law","",""
"msa_parties","msa","Parties","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels; this-agreement","",""
"msa_structure","msa","Structure and Order of Precedence","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels; this-agreement","",""
"msa_fees","msa","Fees","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_invoicing","msa","Invoicing and Payment","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_ip_background","msa","Background IP","critical","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"msa_indemnity_ip","msa","Intellectual Property Indemnity","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_liability_cap","msa","Limitation of Liability","critical","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"msa_confidentiality","msa","Confidentiality","critical","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"msa_term","msa","Term","critical","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"msa_effect_termination","msa","Effect of Termination","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"nda_parties","nda","Parties and Purpose","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels; this-agreement","",""
"nda_definition","nda","Definition of Confidential Information","critical","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"nda_obligations","nda","Obligations","critical","auto","17.8","drafting","evidence-drafting","consistent","parties-agree","",""
"nda_term","nda","Term and Duration of Obligations","critical","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"sow_reference","sow","Governing Agreement","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels; this-agreement","",""
"sow_scope","sow","Scope of Services","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"sow_deliverables","sow","Deliverables","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels; this-agreement","",""
"sow_schedule","sow","Schedule","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"sow_fees","sow","Fees and Rates","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels; this-agreement","",""
"sow_change","sow","Change Control","critical","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"dpa_roles","dpa","Roles of the Parties","critical","auto","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"dpa_instructions","dpa","Processing Instructions","critical","auto","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"dpa_security","dpa","Security Measures","critical","auto","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"dpa_incident","dpa","Incident Response","critical","auto","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"dpa_transfers","dpa","International Transfers","critical","auto","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"ea_atwill","employment-agreement","At-Will Employment","critical","auto","8.7","drafting","evidence-drafting","consistent","this-agreement","",""
"ea_ip","employment-agreement","Confidentiality and Invention Assignment","critical","auto","8.7","authority","evidence-authority","consistent","appeals-to-law","",""
"prop_intro_provider","proposal","Introduction","critical","auto","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"prop_intro_client","proposal","Introduction","critical","auto","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"ic_engagement","contractor-agreement","Engagement and Independent Status","critical","auto","4.5","drafting","evidence-drafting","consistent","this-agreement","",""
"ic_payment","contractor-agreement","Fees and Invoicing","critical","auto","4.5","authority","evidence-authority","consistent","appeals-to-law","",""
"ic_ip","contractor-agreement","Ownership of Work Product","critical","auto","4.5","drafting","evidence-drafting","consistent","this-agreement","",""
"ic_term","contractor-agreement","Term and Termination","critical","auto","4.5","drafting","evidence-drafting","consistent","this-agreement","",""
"svc_parties_provider","svc","Parties and Services","critical","auto","0.0","drafting","evidence-drafting","consistent","two-party-labels","",""
"svc_parties_client","svc","Parties and Services","critical","auto","0.0","drafting","evidence-drafting","consistent","two-party-labels","",""
"loa_opening","loa","The Letter","critical","auto","0.0","drafting","evidence-drafting","consistent","two-party-labels","",""
"inv_details_numbered","invoice","Invoice Details","critical","auto","0.0","drafting","evidence-drafting","consistent","two-party-labels","",""
"inv_details_unnumbered","invoice","Invoice Details","critical","auto","0.0","drafting","evidence-drafting","consistent","two-party-labels","",""
"rm_parties","roommate","Who This Agreement Is Between","critical","auto","0.3","drafting","evidence-drafting","consistent","this-agreement","",""
"msa_definitions","msa","Definitions","recommended","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_late","msa","Late Payment","recommended","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_taxes","msa","Taxes","recommended","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_indemnity_mutual","msa","General Indemnity and Procedure","recommended","auto","17.8","drafting","evidence-drafting","consistent","parties-agree","",""
"nda_compelled","nda","Compelled Disclosure","recommended","auto","17.8","authority","evidence-authority","consistent","appeals-to-law","",""
"nda_no_license","nda","No License or Warranty","recommended","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"nda_injunctive","nda","Equitable Relief","recommended","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"sow_assumptions","sow","Assumptions","recommended","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"sow_precedence","sow","Precedence and Signature","recommended","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"prop_timeline","proposal","Timeline","recommended","auto","17.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_security","msa","Information Security","recommended","auto","11.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"dpa_confidentiality","dpa","Personnel Confidentiality","recommended","auto","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"dpa_audit","dpa","Audits and Assessments","recommended","auto","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"ea_benefits","employment-agreement","Benefits","recommended","auto","8.7","drafting","evidence-drafting","consistent","this-agreement","",""
"cal_83b","compliance-calendar","83(b) Filing Deadline","critical","suggest","19.5","authority","evidence-authority","consistent","names-an-agency","",""
"b83_instructions","election-83b","Filing Instructions","critical","suggest","19.5","authority","evidence-authority","consistent","names-an-agency","",""
"gov_baa","governance","HIPAA Business Associate Obligations","critical","suggest","11.4","authority","evidence-authority","consistent","cites-a-section","",""
"msa_ip_deliverables_provider","msa","Ownership of Deliverables","critical","suggest","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_ip_deliverables_customer","msa","Ownership of Deliverables","critical","suggest","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_warranty_customer","msa","Warranties","critical","suggest","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_disclaimer","msa","Disclaimer","critical","suggest","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_dpa_incorp","msa","Data Processing","critical","suggest","8.9","drafting","evidence-drafting","consistent","this-agreement","",""
"msa_independent","msa","Independent Contractors","optional","auto","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"emp_confid","employment","Confidentiality","recommended","suggest","39.0","authority","evidence-authority","consistent","appeals-to-law","",""
"gov_dataproc","governance","Data Processing and Privacy","recommended","suggest","34.3","authority","evidence-authority","consistent","appeals-to-law","",""
"msa_insurance","msa","Insurance","recommended","suggest","11.9","drafting","evidence-drafting","consistent","two-party-labels; this-agreement","",""
"msa_sla","msa","Service Levels","recommended","suggest","11.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_transition","msa","Transition Assistance","recommended","suggest","11.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"gov_lien","governance","Lien Rights and Retainage","recommended","suggest","11.4","authority","evidence-authority","consistent","appeals-to-law","",""
"msa_price_increase","msa","Rate Adjustments","recommended","suggest","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_feedback","msa","Feedback","recommended","suggest","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_renewal","msa","Renewal","recommended","suggest","8.9","drafting","evidence-drafting","consistent","two-party-labels; this-agreement","",""
"sow_dependencies","sow","Customer Dependencies","recommended","suggest","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"sow_acceptance_deemed","sow","Deemed Acceptance","recommended","suggest","8.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"ea_83b_notice","employment-agreement","Tax Election Notice","recommended","suggest","6.7","authority","evidence-authority","consistent","names-an-agency","",""
"ea_expenses","employment-agreement","Expense Reimbursement","recommended","suggest","7.1","authority","evidence-authority","consistent","appeals-to-law","",""
"msa_opensource","msa","Third-Party and Open Source Components","recommended","suggest","5.9","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_audit","msa","Audit Rights","recommended","suggest","5.9","drafting","evidence-drafting","consistent","two-party-labels; this-agreement","",""
"svc_confidentiality","svc","Keeping Each Other’s Information Private","recommended","suggest","0.0","drafting","evidence-drafting","consistent","parties-agree","",""
"pt_disputes","partnership","Deadlocks","recommended","suggest","0.0","drafting","evidence-drafting","consistent","this-agreement","",""
"sh_indemnity","*","Indemnification","recommended","suggest","0.0","drafting","evidence-drafting","consistent","parties-agree","",""
"sh_confidentiality","*","Confidentiality","recommended","suggest","0.0","drafting","evidence-drafting","consistent","parties-agree","",""
"msa_affiliates","msa","Affiliate Participation","optional","suggest","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"msa_counterparts","msa","Counterparts and Electronic Signature","optional","suggest","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"nda_no_obligation","nda","No Obligation to Proceed","optional","suggest","17.8","drafting","evidence-drafting","consistent","this-agreement","",""
"sow_personnel","sow","Key Personnel","optional","suggest","11.8","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_mfn","msa","Most Favored Pricing","optional","suggest","3.0","drafting","evidence-drafting","consistent","two-party-labels","",""
"msa_escrow","msa","Source Code Escrow","optional","suggest","1.0","drafting","evidence-drafting","consistent","two-party-labels","",""
"lease_alterations","lease","Alterations","optional","suggest","0.3","drafting","evidence-drafting","consistent","parties-agree","",""
